year,N,group
1970,108,Complexity
1971,219,Complexity
1972,333,Complexity
1973,419,Complexity
1974,572,Complexity
1975,733,Complexity
1976,915,Complexity
1977,1134,Complexity
1978,1317,Complexity
1979,1516,Complexity
1980,1747,Complexity
1981,1970,Complexity
1982,2247,Complexity
1983,2507,Complexity
1984,2803,Complexity
1985,3120,Complexity
1986,3475,Complexity
1987,3834,Complexity
1988,4179,Complexity
1989,4737,Complexity
1990,5607,Complexity
1991,8620,Complexity
1992,12022,Complexity
1993,15551,Complexity
1994,19681,Complexity
1995,24330,Complexity
1996,30214,Complexity
1997,37660,Complexity
1998,45961,Complexity
1999,53627,Complexity
2000,62922,Complexity
2001,72261,Complexity
2002,83122,Complexity
2003,95702,Complexity
2004,110058,Complexity
2005,126408,Complexity
2006,145265,Complexity
2007,166330,Complexity
2008,189660,Complexity
2009,214984,Complexity
2010,239562,Complexity
2011,265316,Complexity
2012,292733,Complexity
2013,322898,Complexity
2014,356565,Complexity
2015,396142,Complexity
2016,439013,Complexity
2017,484826,Complexity
2018,532751,Complexity
2019,585227,Complexity
2020,639545,Complexity
1970,0,Ecological complexity
1971,0,Ecological complexity
1972,1,Ecological complexity
1973,1,Ecological complexity
1974,2,Ecological complexity
1975,2,Ecological complexity
1976,2,Ecological complexity
1977,2,Ecological complexity
1978,2,Ecological complexity
1979,2,Ecological complexity
1980,2,Ecological complexity
1981,2,Ecological complexity
1982,2,Ecological complexity
1983,7,Ecological complexity
1984,10,Ecological complexity
1985,10,Ecological complexity
1986,10,Ecological complexity
1987,10,Ecological complexity
1988,12,Ecological complexity
1989,13,Ecological complexity
1990,15,Ecological complexity
1991,19,Ecological complexity
1992,22,Ecological complexity
1993,26,Ecological complexity
1994,27,Ecological complexity
1995,32,Ecological complexity
1996,39,Ecological complexity
1997,42,Ecological complexity
1998,46,Ecological complexity
1999,55,Ecological complexity
2000,69,Ecological complexity
2001,79,Ecological complexity
2002,88,Ecological complexity
2003,99,Ecological complexity
2004,137,Ecological complexity
2005,184,Ecological complexity
2006,242,Ecological complexity
2007,288,Ecological complexity
2008,337,Ecological complexity
2009,424,Ecological complexity
2010,519,Ecological complexity
2011,594,Ecological complexity
2012,679,Ecological complexity
2013,774,Ecological complexity
2014,892,Ecological complexity
2015,1002,Ecological complexity
2016,1103,Ecological complexity
2017,1210,Ecological complexity
2018,1342,Ecological complexity
2019,1459,Ecological complexity
2020,1583,Ecological complexity
